principal components,Average Distance
13,0.09358123237979198,
14,0.06974872493551117,
15,0.05031365450881789,
16,0.042705413271617323,
17,0.03802435498635084,
18,0.031065407868117,
19,0.027580908295802613,
20,0.02338204138902593,
21,0.019182572964232456,
22,0.01708883602386203,
23,0.014544136824653555,
24,0.01310296652580182,
25,0.011615148827305848,
26,0.010255539268196508,
27,0.009288243586533188,
28,0.008432724721760671,
29,0.00762130673156809,
30,0.006669629602079832,
31,0.0058907882181478775,
32,0.005257167896273581,
33,0.004590605287775059,
34,0.004060549977506852,
35,0.0034015720196231,
36,0.002933313523525225,
37,0.002347595262457249,
38,0.0018267660872250094,
39,0.0013579828848736136,
40,9.738818051916603E-4,
41,4.569793480070732E-4,
42,1.365345468339779E-13,
43,1.3317553397964721E-13,
44,1.3253496939326478E-13,
45,1.318374401754559E-13,
46,1.3114198208237618E-13,
47,1.298897809964031E-13,
48,1.2888139270042556E-13,
49,1.2820518900831688E-13,
50,1.2728141961431963E-13,
51,1.266260569218376E-13,
52,1.2576967243896948E-13,
53,1.2324163564834885E-13,
54,1.2107379036274177E-13,
55,1.190630178743877E-13,
56,1.168920983494197E-13,
57,1.1562895273026396E-13,
58,1.1515517076204848E-13,
59,1.1394817288129353E-13,
60,1.1253029070751184E-13,
61,1.1136003208949154E-13,
62,1.1076306773795604E-13,
63,1.1008515487054835E-13,
64,1.0865083227890876E-13,
65,1.0750098852230119E-13,
66,1.0687373079517636E-13,
67,1.0451757973913396E-13,
68,1.0335029695066152E-13,
69,1.0270479063378358E-13,
70,1.01252792811935E-13,
71,1.0012288921734486E-13,
72,9.67130606012591E-14,
73,8.95135987919213E-14,
74,8.421060982628863E-14,
75,8.08714393859112E-14,
76,7.392016463901029E-14,
77,7.054021968123208E-14,
78,6.873279685666128E-14,
79,6.807082733592924E-14,
80,6.542134883090665E-14,
81,6.263801898719514E-14,
82,5.898362145090459E-14,
83,5.5363855118499035E-14,
84,4.880172746386648E-14,
85,4.7873266728101344E-14,
86,4.3417977685159766E-14,
87,4.030505800943477E-14,
88,3.72813814037679E-14,
89,3.6174406339068444E-15,
90,3.6174406339068444E-15,
